name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
monterrey,2023-05-10,31.6,19.7,26.1,32.7,19.7,26.5,18.3,65,0.3,100,4.17,rain,0,0,37.4,21.6,122.6,1009.5,24.8,17.3,274.3,23.5,8,75,2023-05-10T05:58:37,2023-05-10T19:17:05,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"MMIO,76390099999,E0076,76394099999,76394399999,remote"
monterrey,2023-05-11,34.1,20.6,27.9,36.4,20.6,29,20.2,66.6,0,0,0,,0,0,33.1,27.7,108.3,1008,55.7,8.8,263,22.9,8,75,2023-05-11T05:58:02,2023-05-11T19:17:37,0.72,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"MMIO,E0076,76394099999,76394399999,remote"
monterrey,2023-05-12,30.1,21.1,25.3,32.3,21.1,26.1,20.2,75.2,6.35,100,16.67,rain,0,0,49,37.1,117,1008.3,87.2,8,97.2,8.4,4,100,2023-05-12T05:57:27,2023-05-12T19:18:08,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"MMIO,76390099999,E0076,F0561,76394099999,76394399999,remote"
monterrey,2023-05-13,22.6,20.1,21.2,22.6,20.1,21.2,19.2,89.1,2.052,100,20.83,rain,0,0,33.1,15.6,116.1,1013.2,99.3,8.8,79,6.9,8,30,2023-05-13T05:56:54,2023-05-13T19:18:40,0.79,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"MMIO,76390099999,E0076,F0561,76394099999,76394399999"
monterrey,2023-05-14,24,18.4,21,24,18.4,21,18.3,85,0.342,100,8.33,rain,0,0,31.7,21.6,97.9,1018.3,95.5,10.7,15.1,1.3,1,30,2023-05-14T05:56:22,2023-05-14T19:19:12,0.82,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"MMIO,E0076,F0561,76394099999,MMMY,76394399999,remote"
monterrey,2023-05-15,29.4,19,23,29.6,19,23.1,17.3,73.2,0.245,100,4.17,rain,0,0,27.4,19.4,110.3,1020.3,54.9,15.8,253.4,21.9,8,30,2023-05-15T05:55:51,2023-05-15T19:19:44,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"MMIO,E0076,F0561,76394099999,MMAN,76394399999,remote"
monterrey,2023-05-16,29.1,18.3,23.3,29.5,18.3,23.3,18,75.3,0.048,100,4.17,rain,0,0,24.5,17.3,93.6,1017.3,72.6,15.8,219.8,18.9,8,30,2023-05-16T05:55:21,2023-05-16T19:20:15,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"MMIO,E0076,F0561,76394099999,76394399999,remote"
monterrey,2023-05-17,31.6,20.1,25.4,32.2,20.1,25.7,18.5,68.6,0,0,0,,0,0,27.4,18.4,87,1013.4,27.6,15.8,241.9,20.9,9,60,2023-05-17T05:54:52,2023-05-17T19:20:47,0.93,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"MMIO,76390099999,E0076,76394099999,76394399999"
monterrey,2023-05-18,30.6,19.8,24.3,31.3,19.8,24.6,19.1,74.8,0,0,0,,0,0,33.1,15.6,113.4,1012.9,46.1,15.9,170.5,14.7,9,60,2023-05-18T05:54:25,2023-05-18T19:21:19,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MMIO,E0076,F0561,76394099999,76394399999,remote"
monterrey,2023-05-19,31.6,21,26.8,33.5,21,27.9,21.1,73.7,1.2,100,4.17,rain,0,0,31.7,20.5,127.6,1015.3,63.9,11.5,202.2,17.4,8,75,2023-05-19T05:53:59,2023-05-19T19:21:50,0,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"MMIO,E0076,76394099999,MMMY,76394399999"
